VAR_PDAD,VAR_CAMPO,r,N
MOR_pct_migrante,PCT_DEPDIST_moderado,-0.2716,33
MOR_pct_idoso_pop,PCT_DEPFED_liberal_conservador,-0.2713,33
MOR_pct_conta_propria,PCT_DEPFED_progressista,-0.2708,33
DOM_pct_classe_C,PCT_DEPFED_moderado,0.2698,33
MOR_pct_desocupado,PCT_SEN_liberal_conservador,0.2691,33
MOR_pct_ocupado,PCT_SEN_progressista,0.2656,33
MOR_pct_ocupado,PCT_DEPFED_progressista,0.2644,33
MOR_pct_servidor_total,PCT_DEPDIST_progressista,0.2621,33
MOR_pct_plano_saude,PCT_DEPDIST_progressista,0.2612,33
MOR_pct_conta_propria,PCT_GOV_moderado,0.2607,33
MOR_pct_servidor_dist,PCT_DEPDIST_progressista,0.2571,33
MOR_pct_conta_propria,PCT_DEPFED_moderado,0.2557,33
EL_pct_feminino,PCT_DEPFED_liberal_conservador,-0.2555,33
MOR_pct_superior,PCT_DEPFED_liberal_conservador,-0.2534,33
MOR_pct_ocupado,PCT_DEPDIST_progressista,0.2526,33
MOR_pct_nativo_df,PCT_DEPFED_progressista,-0.2514,33
MOR_pct_migrante,PCT_DEPFED_progressista,0.2514,33
MOR_pct_servidor_fed,PCT_DEPDIST_liberal_conservador,0.2513,33
MOR_pct_jovem_pop,PCT_SEN_liberal_conservador,0.2477,33
DOM_pct_classe_C,PCT_DEPFED_liberal_conservador,0.2458,33
EL_pct_jovem_1624_x,PCT_DEPDIST_liberal_conservador,-0.2411,33
DOM_pct_inseg_alimentar,PCT_DEPFED_liberal_conservador,0.2401,33
MOR_pct_privado,PCT_DEPFED_moderado,0.2354,33
MOR_renda_ind_media,PCT_GOV_moderado,-0.234,15
DOM_renda_pc_media,PCT_DEPDIST_liberal_conservador,0.2337,33
DOM_pct_classe_AB,PCT_DEPDIST_liberal_conservador,0.2324,33
EL_pct_feminino,PCT_SEN_progressista,0.2316,33
MOR_pct_ocupado,PCT_SEN_liberal_conservador,-0.228,33
MOR_pct_privado,PCT_SEN_liberal_conservador,0.2266,33
MOR_pct_servidor_fed,PCT_DEPFED_liberal_conservador,-0.2247,33
MOR_pct_jovem_pop,PCT_DEPDIST_liberal_conservador,-0.2196,33
MOR_renda_ind_media,PCT_GOV_liberal_conservador,0.2195,15
MOR_pct_nativo_df,PCT_DEPFED_moderado,0.2159,33
MOR_pct_migrante,PCT_DEPFED_moderado,-0.2159,33
DOM_pct_classe_C,PCT_DEPDIST_moderado,0.2158,33
MOR_pct_idoso_pop,PCT_DEPFED_moderado,-0.2149,33
MOR_pct_servidor_dist,PCT_DEPFED_liberal_conservador,-0.2132,33
EL_total_aptos,PCT_DEPFED_moderado,-0.2106,33
MOR_pct_conta_propria,PCT_SEN_progressista,-0.2087,33
MOR_pct_idoso_pop,PCT_DEPDIST_moderado,-0.2086,33
EL_pct_superior,PCT_DEPFED_liberal_conservador,-0.2075,33
MOR_pct_conta_propria,PCT_GOV_progressista,-0.2075,33
MOR_pct_beneficio_social,PCT_DEPDIST_progressista,-0.2031,33
MOR_pct_ocupado,PCT_DEPFED_moderado,-0.2006,33
EL_pct_feminino,PCT_DEPFED_progressista,0.2,33
EL_total_aptos,PCT_SEN_liberal_conservador,-0.1969,33
MOR_pct_ocupado,PCT_GOV_liberal_conservador,0.1954,33
MOR_renda_ind_media,PCT_SEN_moderado,0.193,15
DOM_renda_pc_media,PCT_DEPFED_liberal_conservador,-0.1921,33
DOM_pct_classe_AB,PCT_DEPFED_liberal_conservador,-0.1908,33
MOR_pct_migrante,PCT_SEN_liberal_conservador,-0.1866,33
MOR_pct_nativo_df,PCT_SEN_liberal_conservador,0.1866,33
DOM_pct_inseg_alimentar,PCT_DEPDIST_progressista,-0.1782,33
EL_pct_sem_fund,PCT_DEPDIST_progressista,-0.1759,33
MOR_pct_feminino,PCT_DEPFED_liberal_conservador,0.174,33
MOR_escolaridade_media,PCT_DEPFED_liberal_conservador,-0.1728,33
EL_pct_idoso_60+,PCT_DEPFED_moderado,-0.1718,33
EL_pct_jovem_1624_x,PCT_DEPFED_moderado,0.1709,33
EL_pct_jovem_1624_y,PCT_DEPDIST_liberal_conservador,-0.1698,33
EL_total_aptos,PCT_DEPFED_progressista,0.1667,33
MOR_renda_ind_media,PCT_GOV_progressista,0.1645,15
MOR_pct_conta_propria,PCT_DEPDIST_moderado,0.1615,33
MOR_pct_desocupado,PCT_DEPFED_liberal_conservador,0.1599,33
MOR_pct_feminino,PCT_GOV_moderado,0.1536,33
MOR_renda_ind_media,PCT_DEPFED_liberal_conservador,-0.1506,15
MOR_pct_jovem_pop,PCT_DEPFED_moderado,0.1463,33
EL_pct_idoso_60+,PCT_DEPDIST_moderado,-0.1429,33
EL_pct_idoso_60mais,PCT_DEPDIST_liberal_conservador,0.1421,33
MOR_pct_idoso_pop,PCT_DEPDIST_liberal_conservador,0.1421,33
EL_total_aptos,PCT_GOV_progressista,0.1414,33
EL_pct_jovem_1624_x,PCT_DEPDIST_moderado,0.1384,33
EL_pct_feminino,PCT_GOV_moderado,-0.1329,33
MOR_pct_plano_saude,PCT_DEPFED_liberal_conservador,-0.1317,33
MOR_pct_conta_propria,PCT_SEN_liberal_conservador,0.1287,33
EL_total_aptos,PCT_GOV_liberal_conservador,-0.1279,33
EL_total_aptos,PCT_DEPDIST_moderado,-0.1251,33
MOR_pct_feminino,PCT_DEPDIST_progressista,0.1236,33
MOR_pct_feminino,PCT_GOV_progressista,-0.1219,33
EL_total_aptos,PCT_GOV_moderado,-0.1152,33
EL_pct_idoso_60+,PCT_DEPDIST_liberal_conservador,0.1087,33
MOR_pct_crianca,PCT_DEPFED_liberal_conservador,0.1081,33
MOR_pct_ocupado,PCT_DEPFED_liberal_conservador,-0.1079,33
EL_pct_sem_fund,PCT_DEPFED_liberal_conservador,0.1077,33
MOR_pct_servidor_total,PCT_DEPFED_liberal_conservador,-0.0971,33
MOR_pct_jovem_pop,PCT_DEPDIST_progressista,0.0963,33
EL_pct_feminino,PCT_DEPFED_moderado,-0.0933,33
MOR_pct_jovem_pop,PCT_DEPDIST_moderado,0.0927,33
